,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Redding,75,US,1552003518,77,40.59,-122.39,50.0,2.75
96,Cantaura,48,VE,1552003853,41,9.31,-64.36,86.9,12.15
97,Batagay-Alyta,64,RU,1552003854,63,67.8,130.41,-1.67,3.53
98,Port Hardy,20,CA,1551999600,48,50.7,-127.42,42.8,6.93
99,Port-Gentil,40,GA,1551999600,94,-0.72,8.78,80.6,2.24
100,Bealanana,44,MG,1552003859,95,-14.54,48.75,62.91,1.74
101,Yumen,8,CN,1552003860,60,40.29,97.04,25.56,7.67
102,Cape Town,20,ZA,1552003564,63,-33.93,18.42,61.0,21.92
103,Rocha,36,UY,1552003522,96,-34.48,-54.34,70.16,2.75
104,Egvekinot,8,RU,1552003865,78,66.32,-179.17,5.45,3.53
105,Pevek,36,RU,1552003866,87,69.7,170.27,-0.45,4.21
106,East London,100,ZA,1552003581,100,-33.02,27.91,71.96,14.05
107,Clyde River,75,CA,1551999600,83,70.47,-68.59,-4.01,20.8
108,Waipawa,80,NZ,1552003870,62,-39.94,176.59,70.52,4.09
109,Ancud,75,CL,1551999600,66,-41.87,-73.83,51.8,5.82
110,Ribeira Grande,92,PT,1552003494,94,38.52,-28.7,62.28,15.05
111,Ostrovnoy,0,RU,1552003541,85,68.05,39.51,8.15,15.5
112,Berezovyy,8,RU,1552003876,61,51.67,135.7,17.01,2.75
113,Lata,0,IN,1552003877,74,30.78,78.62,29.61,2.98
114,Ankang,64,CN,1552003879,71,32.73,108.99,30.83,1.97
115,Ust-Kulom,76,RU,1552003881,71,61.69,53.69,17.69,9.8
116,Alta Floresta,0,BR,1552003882,91,-9.87,-56.08,76.41,2.53
117,Vaini,0,IN,1552003884,61,15.34,74.49,57.65,3.76
118,Constantine,40,DZ,1552001400,87,36.36,6.61,48.2,2.24
119,Georgetown,0,GY,1551999600,78,6.8,-58.16,80.6,11.41
120,Bredasdorp,92,ZA,1552003250,94,-34.53,20.04,57.99,11.03
121,Deming,1,US,1552003511,13,32.27,-107.76,73.4,24.16
122,Iranshahr,8,IR,1552003891,78,27.21,60.69,44.51,3.09
123,Agirish,68,RU,1552003892,59,61.92,63.02,14.9,8.46
124,Manta,0,RO,1552003828,76,45.1,24.1,37.0,2.75
125,Semey,32,KZ,1552003896,70,50.41,80.25,6.53,3.53
126,Pangkalanbuun,88,ID,1552003356,94,-2.68,111.62,75.02,4.21
127,Xiangxiang,100,CN,1552003898,100,27.73,112.52,46.13,8.57
128,Khislavichi,92,RU,1552003900,87,54.19,32.16,40.82,21.65
129,Bonavista,0,CA,1552003226,55,48.65,-53.11,12.0,17.0
130,Port Macquarie,40,AU,1552003445,69,-31.43,152.91,75.99,8.05
131,Diego de Almagro,0,CL,1552003904,65,-26.39,-70.05,66.6,2.75
132,Airai,100,TL,1552003530,96,-8.93,125.41,70.2,2.75
133,Severo-Kurilsk,8,RU,1552003490,100,50.68,156.12,26.87,10.47
134,Swan Hill,64,AU,1552003908,78,-35.34,143.56,64.35,4.54
135,Pangnirtung,75,CA,1551999600,65,66.15,-65.72,8.6,14.99
136,Punjai Puliyampatti,20,IN,1552001400,83,11.35,77.2,77.0,4.7
137,Vanimo,56,PG,1552003525,100,-2.67,141.3,80.55,5.66
138,Quatre Cocos,20,MU,1552003744,88,-20.21,57.76,75.2,5.82
139,Vardo,1,US,1552003487,48,39.62,-77.74,35.6,5.44
140,Dikson,44,RU,1552003916,87,73.51,80.55,8.01,5.44
141,Rome,0,IT,1552003684,82,41.89,12.48,57.99,8.05
142,Ponta do Sol,48,BR,1552003919,96,-20.63,-46.0,69.53,5.32
143,Cayenne,75,GF,1552001400,78,4.94,-52.33,78.8,5.82
144,Patacamaya,68,BO,1552003922,59,-17.23,-67.92,53.28,3.31
145,Longyearbyen,0,NO,1552002600,58,78.22,15.63,-2.21,2.24
146,Andapa,64,MG,1552003925,99,-14.66,49.65,69.66,2.19
147,Venado Tuerto,44,AR,1552003926,72,-33.75,-61.97,73.08,14.05
148,Priargunsk,48,RU,1552003927,75,50.37,119.09,17.91,2.86
149,Aasiaat,0,GL,1552003929,75,68.71,-52.87,24.44,19.98
150,Fortuna,0,ES,1552003516,70,38.18,-1.13,52.0,2.24
151,Victoria,75,BN,1552001400,94,5.28,115.24,78.8,0.96
152,Sarahan,8,IN,1552003933,78,31.51,77.79,-4.55,2.19
153,San Cristobal,75,EC,1552002340,93,-0.39,-78.55,59.0,2.24
154,El Alto,75,BO,1551999600,62,-16.5,-68.19,53.6,5.82
155,Neklyudovo,80,RU,1552003937,81,54.88,41.31,18.0,17.29
156,Tuatapere,0,NZ,1552003211,55,-46.13,167.69,62.01,1.99
157,San Patricio,12,PY,1552003940,80,-26.98,-56.83,80.42,5.55
158,Esperance,20,TT,1552003507,74,10.24,-61.45,80.6,10.29
159,Urengoy,92,RU,1552003942,92,65.96,78.37,29.88,16.73
160,Ambanja,24,MG,1552003944,96,-13.68,48.45,67.91,2.64
161,Sitka,100,US,1552003279,57,37.17,-99.65,46.0,3.0
162,Namibe,48,AO,1552003947,100,-15.19,12.15,78.03,7.0
163,Teya,20,MX,1552003282,54,21.05,-89.07,82.4,9.17
164,Griffith,8,AU,1551999600,46,-34.29,146.06,73.4,6.93
165,Aberdeen,90,US,1552003508,72,45.47,-98.49,19.0,5.82
166,Aswan,0,EG,1552003953,78,24.09,32.9,51.26,5.88
167,Pushchino,0,RU,1552001400,73,54.83,37.61,24.8,13.42
168,Rapid Valley,1,US,1552003804,73,44.06,-103.15,37.0,4.21
169,Saskylakh,32,RU,1552003957,60,71.97,114.09,-13.1,7.0
170,Dickinson,90,US,1552003850,72,46.88,-102.79,18.0,19.46
171,Liwale,20,TZ,1552003960,95,-9.8,37.92,69.62,2.19
172,Diffa,0,NE,1552003962,21,13.32,12.61,74.66,10.69
173,Gisborne,88,NZ,1552003811,65,-38.66,178.02,78.01,4.0
174,Alice Springs,0,AU,1552001400,14,-23.7,133.88,82.4,10.29
175,Lagoa,75,PT,1552003930,82,37.14,-8.45,55.4,10.29
176,NEDJO,8,ET,1552003967,41,9.5,35.5,59.45,4.76
177,Houma,88,CN,1552003969,59,35.63,111.36,32.58,4.76
178,Jijiang,0,CN,1552003069,81,29.8,120.61,44.01,4.47
179,Puerto Leguizamo,24,CO,1552003972,83,-0.19,-74.78,76.64,4.65
180,Chumikan,76,RU,1552003973,69,54.72,135.31,23.99,3.53
181,Chuy,68,UY,1552003975,90,-33.69,-53.46,74.12,12.93
182,Talnakh,88,RU,1552003976,87,69.49,88.39,21.29,15.05
183,Shingu,20,JP,1551999600,52,33.72,135.99,42.8,17.22
184,Mastic Beach,40,US,1552003976,53,40.77,-72.85,30.99,6.93
185,Torbay,90,CA,1552003715,78,47.66,-52.73,15.01,21.92
186,Ihtiman,0,BG,1552003865,80,42.44,23.81,48.0,1.63
187,Japura,56,ID,1552003983,93,-0.42,102.29,73.71,2.53
188,Guanay,88,BO,1552003985,89,-15.5,-67.88,70.97,1.07
189,Amapa,20,HN,1551999600,66,15.09,-87.97,84.2,17.22
190,Lebu,75,ET,1551999600,100,8.96,38.73,55.4,4.7
191,Bahir Dar,0,ET,1552003989,51,11.59,37.39,49.5,2.42
192,Storforshei,75,NO,1551999000,79,66.4,14.52,24.8,5.82
193,Lompoc,90,US,1552003916,62,34.64,-120.46,59.0,9.17
194,Bom Jesus dos Perdoes,0,BR,1551999600,94,-23.14,-46.47,73.4,3.65
195,Tura,0,IN,1552003489,76,25.52,90.21,50.99,4.65
196,Taketoyo,20,JP,1552003949,49,34.83,136.91,46.99,14.99
197,Kavieng,88,PG,1552003997,100,-2.57,150.8,80.33,1.74
198,Bayevo,0,RU,1552003998,81,53.27,80.77,19.08,12.26
199,Flinders,0,AU,1552003547,53,-34.58,150.85,80.01,6.93
200,Simpang Empat,75,MY,1551999600,88,6.02,100.38,77.0,3.36
201,El Paso,90,US,1552003824,12,31.76,-106.49,78.8,27.51
202,Khurja,0,IN,1552004004,80,28.25,77.85,52.07,2.64
203,Darhan,88,MN,1552004005,68,49.49,105.92,24.62,13.71
204,Wanning,75,AT,1552003991,75,48.64,13.53,46.99,9.17
205,Zhuhai,12,CN,1551999600,41,40.71,112.04,23.0,4.47
206,Kahului,40,US,1552003574,64,20.89,-156.47,79.0,19.46
207,Novosokolniki,88,RU,1552004010,91,56.35,30.15,41.72,16.4
208,Filadelfia,36,PY,1552004012,44,-22.35,-60.04,93.51,18.63
209,Barstow,1,US,1552003930,13,31.46,-103.39,82.4,13.87
210,Shaowu,92,CN,1552004015,99,27.34,117.49,45.95,2.42
211,Ajdabiya,0,LY,1552004016,56,30.75,20.22,47.84,6.89
212,Campbellton,32,CA,1552004018,66,48.0,-66.68,5.18,8.01
213,Balaguer,8,ES,1552003672,74,41.79,0.81,42.01,1.12
214,Koltubanovskiy,0,RU,1552004021,63,52.94,52.03,0.5,2.86
215,Leningradskiy,24,RU,1552004022,88,69.38,178.42,4.05,16.4
216,Rawson,8,AR,1552004023,32,-43.3,-65.11,56.88,9.91
217,Duzce,0,TR,1552004025,75,40.84,31.16,28.35,1.97
218,Powell River,75,CA,1552003925,56,49.84,-124.52,44.01,5.82
219,Macomb,75,US,1552003976,86,40.46,-90.67,28.4,14.99
220,Port Hedland,12,AU,1552001400,75,-20.31,118.58,89.6,11.41
221,Rio Verde de Mato Grosso,20,BR,1552004031,75,-18.92,-54.84,77.27,4.65
222,Baruun-Urt,20,MN,1552004032,57,46.68,113.28,23.18,9.8
223,Batagay,76,RU,1552004033,71,67.65,134.64,-6.75,3.2
224,Tasiilaq,56,GL,1552002600,31,65.61,-37.64,21.2,13.87
225,Adjuntas,90,PR,1552003996,94,18.16,-66.72,79.0,4.7
226,Natal,40,BR,1551999600,74,-5.81,-35.21,82.4,6.93
227,Kysyl-Syr,76,RU,1552004039,69,63.9,122.77,13.19,5.77
228,Pisco,75,PE,1551999600,30,-13.71,-76.2,71.6,23.04
229,Ust-Omchug,8,RU,1552004041,79,61.13,149.63,-6.89,3.2
230,Tsaratanana,80,MG,1552004043,97,-16.8,47.65,68.99,3.42
231,Birin,0,SY,1552004044,56,35.01,36.67,34.79,7.11
232,Novikovo,32,UA,1552004045,100,45.05,34.56,33.98,4.99
233,Kavarna,0,BG,1552001400,81,43.43,28.33,42.8,4.7
234,Kaitangata,8,NZ,1552003964,49,-46.28,169.85,63.0,4.0
235,Buraydah,0,SA,1551999600,62,26.33,43.97,51.8,7.56
236,Sorong,80,ID,1552004051,100,-0.86,131.25,79.43,5.55
237,Praia da Vitoria,20,PT,1552003244,87,38.73,-27.07,59.0,15.28
238,Sao Jose da Coroa Grande,64,BR,1552004054,91,-8.9,-35.15,77.36,6.78
239,Chapais,90,CA,1552001940,70,49.78,-74.86,1.4,6.93
240,Moerai,56,PF,1552004056,100,-22.43,-151.33,81.18,18.75
241,Kindu,92,CD,1552004057,100,-2.95,25.92,68.58,1.74
242,Anadyr,0,RU,1552003992,77,64.73,177.51,6.01,6.71
243,Muisne,90,EC,1551999600,88,0.61,-80.02,78.8,5.82
244,Arman,12,RU,1552004061,65,59.7,150.17,7.25,3.76
245,Zapolyarnyy,0,RU,1552002600,77,69.43,30.82,5.0,11.41
246,Cedar City,20,US,1552003243,46,37.68,-113.06,50.0,17.22
247,Dicabisagan,64,PH,1552004066,100,17.08,122.42,74.93,4.21
248,Kadaya,36,RU,1552004068,69,50.93,119.29,18.45,2.42
249,Khatanga,68,RU,1552004069,71,71.98,102.47,-2.39,6.11
250,Coquimbo,0,CL,1551999600,82,-29.95,-71.34,64.4,9.17
251,Gilgit,24,PK,1552004072,82,35.92,74.31,9.77,0.51
252,Urmenis,0,RO,1552003200,69,46.77,24.37,43.0,6.93
253,Madimba,40,CM,1551999600,78,4.42,9.93,77.0,8.05
254,La Rioja,0,AR,1552004076,62,-29.41,-66.86,79.65,2.42
255,Kasongo-Lunda,68,CD,1552004077,96,-6.48,16.82,67.64,0.18
256,Iqaluit,90,CA,1551999776,76,63.75,-68.52,-11.01,35.57
257,Kieta,36,PG,1552004080,98,-6.22,155.63,82.4,4.21
258,Bilibino,68,RU,1552004082,74,68.06,166.44,6.62,3.09
259,Papanasam,20,IN,1552001400,74,10.93,79.27,82.4,6.93
260,Zhanaozen,68,KZ,1552004084,88,43.35,52.85,37.13,3.76
261,Porto Walter,12,BR,1552004086,74,-8.27,-72.74,83.7,2.64
262,Touros,40,BR,1551999600,83,-5.2,-35.46,82.4,4.7
263,Teguldet,92,RU,1552004088,82,57.31,88.17,29.12,11.03
264,Namatanai,36,PG,1552004090,100,-3.66,152.44,81.36,2.98
265,Madison,1,US,1552003908,45,43.07,-89.38,23.0,5.82
266,Hudiksvall,88,SE,1552004067,100,61.73,17.1,31.28,3.2
267,Aklavik,75,CA,1551999600,73,68.22,-135.01,24.8,3.36
268,Loiza,75,PR,1552004087,65,18.43,-65.88,78.8,11.41
269,Upernavik,20,GL,1552004096,100,72.79,-56.15,9.0,14.27
270,Sibolga,20,ID,1552004098,100,1.74,98.78,67.55,2.19
271,Klaksvik,68,FO,1552002600,74,62.23,-6.59,30.2,1.12
272,Saint George,0,GR,1552004006,87,39.45,22.34,54.0,1.97
273,Moron,76,VE,1552004102,83,10.49,-68.2,71.87,3.98
274,Sibu,75,MY,1551999600,100,2.29,111.83,75.2,2.24
275,Iskateley,20,RU,1552004105,75,67.68,53.15,13.23,20.54
276,Port Elizabeth,1,US,1552004105,40,39.31,-74.98,33.8,3.36
277,La Palma,56,CO,1552004108,96,5.36,-74.39,70.11,0.63
278,Wakema,20,MM,1552004109,97,16.6,95.18,70.97,5.55
279,Radeberg,0,DE,1552004008,61,51.12,13.92,46.99,13.87
280,San Vicente de Canete,24,PE,1552004112,86,-13.08,-76.38,69.53,2.75
281,Goderich,0,CA,1552003695,79,43.74,-81.71,12.99,3.2
282,Eyl,20,SO,1552004115,100,7.98,49.82,73.85,7.78
283,Pangody,92,RU,1552003543,84,65.85,74.49,8.6,20.54
284,Vila Velha,40,BR,1552003132,88,-3.71,-38.6,80.6,1.12
285,Katobu,76,ID,1552004119,95,-4.94,122.53,82.49,9.57
286,Sekoma,8,BW,1552004120,63,-24.51,23.93,70.88,5.32
287,Narsaq,80,GL,1552002600,32,60.91,-46.05,37.4,26.4
288,Portland,75,US,1552003839,70,45.52,-122.67,46.99,8.05
289,Laguna,90,MX,1551998520,34,27.52,-110.01,78.8,9.17
290,Campbellsville,40,US,1552003804,64,37.34,-85.34,42.01,5.82
291,Morondava,20,MG,1552004127,100,-20.3,44.28,74.16,3.98
292,Port Moresby,40,PG,1552003200,62,-9.47,147.16,87.8,13.87
293,Comodoro Rivadavia,20,AR,1551999600,39,-45.87,-67.48,62.6,6.93
294,Burns Lake,20,CA,1552004131,56,54.23,-125.76,26.55,3.65
295,La Ronge,20,CA,1551999600,52,55.1,-105.3,15.8,6.93
296,Komsomolskiy,64,RU,1552004134,73,67.55,63.78,5.27,13.71
297,Canon City,88,US,1552003993,36,39.46,-117.13,43.25,2.86
298,Itarema,80,BR,1552004136,94,-2.92,-39.92,76.73,5.21
299,Poum,24,MK,1552004138,74,41.28,20.71,30.78,2.19
300,Rosarito,75,CO,1552003200,88,4.91,-75.23,75.2,2.24
301,Isakly,0,RU,1552004141,68,54.13,51.53,2.16,4.65
302,Aguada de Pasajeros,20,CU,1551999540,57,22.38,-80.85,77.0,12.75
303,Kloulklubed,75,PW,1552002600,74,7.04,134.26,82.4,11.41
304,Chokurdakh,56,RU,1552004145,70,70.62,147.9,-16.2,1.97
305,Kars,75,TR,1552001400,61,40.61,43.1,32.0,10.29
306,Tabas,0,IR,1551999600,29,33.6,56.92,51.8,4.7
307,Westport,64,IE,1552003984,86,53.8,-9.52,46.0,5.99
308,Adilcevaz,75,TR,1551999000,90,38.8,42.73,32.0,3.36
309,Qianan,0,CN,1552004151,55,44.99,124.06,32.0,14.38
310,Mandera,0,ET,1552003359,20,3.94,41.86,71.01,1.99
311,Yerofey Pavlovich,80,RU,1552004154,78,53.97,121.97,21.92,8.57
312,Bongor,76,TD,1552004155,25,10.28,15.37,86.0,9.24
313,Kautokeino,0,NO,1552004157,50,69.01,23.04,-10.8,2.64
314,Blackwater,68,GB,1552004155,75,51.33,-0.78,46.4,9.17
315,Hofn,36,IS,1552004159,100,64.25,-15.21,28.31,13.49
316,Provideniya,80,RU,1552004161,100,64.42,-173.23,24.44,29.82
317,Eldorado,75,MX,1552004116,45,24.32,-107.36,86.0,9.17
318,Kampene,44,CD,1552004164,96,-3.59,26.67,67.64,2.08
319,Constitucion,75,MX,1552003816,5,23.99,-104.67,82.4,10.29
320,Gaziantep,0,TR,1552003451,35,37.06,37.38,44.6,16.11
321,Dalvik,75,SE,1552004104,93,57.79,14.13,39.99,17.22
322,Mizan Teferi,88,ET,1552004170,83,6.99,35.58,63.59,2.64
323,Haapiti,20,PF,1552003987,63,-17.57,-149.87,91.4,6.93
324,Luderitz,0,NA,1552004172,71,-26.65,15.16,64.08,20.65
325,Parabel,88,RU,1552004174,85,58.71,81.5,33.21,13.6
326,Jackson,90,US,1552003894,42,35.61,-88.82,48.99,6.93
327,Seoul,1,KR,1552002960,74,37.57,126.98,39.2,1.12
328,Cherskiy,24,RU,1552004178,53,68.75,161.3,-4.77,1.97
329,Bondoukou,36,CI,1552004179,80,8.04,-2.8,75.33,7.11
330,Cabedelo,0,BR,1551999600,88,-6.97,-34.84,78.8,5.82
331,Gravelbourg,56,CA,1552004182,84,49.88,-106.56,21.02,7.78
332,Evensk,68,RU,1552004183,100,61.92,159.24,21.56,14.27
333,Noumea,75,NC,1552001400,70,-22.28,166.46,86.0,6.93
334,Santa Rosa,0,AR,1552004188,33,-36.62,-64.29,68.76,10.47
335,Te Anau,0,NZ,1552004189,64,-45.41,167.72,54.63,3.53
336,Pailitas,20,CO,1552004191,61,8.96,-73.63,86.18,4.88
337,Korba,0,IN,1552004192,54,22.35,82.71,60.03,5.77
338,Saint-Pierre,0,FR,1552004169,93,48.95,4.24,44.6,11.41
339,Masuguru,32,MZ,1552004195,96,-11.38,38.46,72.77,5.44
340,Lingyuan,0,CN,1552004197,54,41.24,119.4,27.41,2.75
341,Cihuatlan,0,MX,1552004198,50,19.24,-104.57,84.6,7.45
342,Oktyabrskiy,0,RU,1552003548,73,55.61,37.97,28.99,6.71
343,Jamestown,32,AU,1552004201,38,-33.21,138.6,72.18,4.32
344,Gazanjyk,20,TM,1552004203,70,39.24,55.52,42.53,6.55
345,Timizart,64,DZ,1552004205,97,36.8,4.25,45.41,1.63
346,Cabanas,75,ES,1552004160,81,43.42,-8.16,53.01,9.17
347,Yar-Sale,76,RU,1552004208,76,66.83,70.83,6.89,14.5
348,Najran,5,SA,1551999600,30,17.54,44.22,59.0,2.19
349,Umm Lajj,0,SA,1552004210,100,25.02,37.27,58.91,10.8
350,Guerrero Negro,88,MX,1552004212,67,27.97,-114.04,64.94,7.78
351,Sao Filipe,0,CV,1552004213,94,14.9,-24.5,70.88,18.75
352,Luan,75,CH,1552004214,89,46.36,6.98,46.4,1.12
353,Talcahuano,0,CL,1551999600,68,-36.72,-73.12,64.4,16.11
354,Katsuura,75,JP,1552002884,49,33.93,134.5,46.99,17.22
355,Smithers,75,CA,1551999600,40,54.78,-127.17,33.8,5.82
356,De-Kastri,24,RU,1552004220,85,51.48,140.77,23.76,7.34
357,Makarska,0,HR,1552003200,62,43.3,17.02,59.0,10.29
358,Wattegama,32,LK,1552004223,96,7.35,80.68,66.96,3.53
359,Leh,56,IN,1552004224,66,34.16,77.58,-11.7,1.74
360,Isangel,20,VU,1551999600,74,-19.55,169.27,84.2,5.82
361,Luena,32,AO,1552004227,92,-11.78,19.91,64.8,3.65
362,Cam Ranh,20,VN,1552001400,83,11.92,109.15,80.6,5.82
363,Kosino,44,RU,1552004230,84,58.41,51.28,15.44,14.05
364,Grindavik,0,IS,1552003756,79,63.84,-22.43,28.4,9.17
365,Kaspiysk,40,RU,1552001400,75,42.88,47.64,46.0,8.95
366,Luanda,75,AO,1552003200,78,-8.83,13.24,82.4,3.36
367,Kawalu,76,ID,1552004235,90,-7.38,108.21,67.55,1.52
368,Tessalit,0,ML,1552004237,27,20.2,1.01,54.86,5.21
369,Mana,0,RS,1552001400,29,43.52,20.24,60.8,3.36
370,Kaset Sombun,0,TH,1552004240,78,16.28,101.95,67.5,2.42
371,Padang,40,ID,1551999600,94,-0.92,100.36,73.4,3.36
372,Dakar,0,SN,1552001400,72,14.69,-17.45,66.2,20.8
373,Lokosovo,64,RU,1552004244,77,61.13,74.84,17.42,22.32
